sheet,concentration_mM,t_min,t_max,mean_dydt0,std_dydt0,n_trials
12_13,0.25,0.1,30,-0.019737274762318346,0.0006662051111292167,4
12_13,0.25,0.1,40,-0.018265717753632373,0.0006021983709493665,4
12_13,0.25,0.1,50,-0.016934689988792342,0.00071997907230467,4
12_13,0.25,0.1,60,-0.015934672705597164,0.0010966170594636062,4
12_13,0.25,0.2,20,-0.02047674572385766,0.0007113748291441067,4
12_13,0.25,0.2,30,-0.01893829259326841,0.0006107173229765743,4
12_13,0.25,0.2,40,-0.017390514179108977,0.0005188208969095665,4
12_13,0.25,0.2,50,-0.016162143443102486,0.0006482124713434033,4
12_13,0.25,0.2,60,-0.015271849957961473,0.0010287489971483983,4
12_13,0.5,0.005,20,-0.026980255680921224,0.0004546615122268358,4
12_13,0.5,0.005,30,-0.02560018121052933,0.00038268287155657904,4
12_13,0.5,0.005,40,-0.024490195360451286,0.00037608418722502704,4
12_13,0.5,0.005,50,-0.02355033028475945,0.00038463174058404935,4
12_13,0.5,0.005,60,-0.022791509352883873,0.0004132585217308888,4
12_13,0.5,0.01,20,-0.026779059537950567,0.0003553016931943939,4
12_13,0.5,0.01,30,-0.025427186688494634,0.00031879759591647155,4
12_13,0.5,0.01,40,-0.024326671880797606,0.0003219562625573424,4
12_13,0.5,0.01,50,-0.023393229551746643,0.00033158689322302076,4
12_13,0.5,0.01,60,-0.02264152177927959,0.0003545049652848024,4
12_13,0.5,0.02,20,-0.02650781235458443,0.00035942186235168514,4
12_13,0.5,0.02,30,-0.025182953752228406,0.0003254083675793297,4
12_13,0.5,0.02,40,-0.024088513987951834,0.0003253801491822606,4
12_13,0.5,0.02,50,-0.023159752861044693,0.0003295358108919626,4
12_13,0.5,0.02,60,-0.02241611723805531,0.0003440366048077807,4
12_13,0.5,0.05,20,-0.026214946734638936,0.00041197861534230464,4
12_13,0.5,0.05,30,-0.024856773993611407,0.0003594331182693742,4
12_13,0.5,0.05,40,-0.023726332261444882,0.00035135757495077916,4
12_13,0.5,0.05,50,-0.02277359158994844,0.0003482993122555484,4
12_13,0.5,0.05,60,-0.02202390784635202,0.00035616262567087636,4
12_13,0.5,0.1,20,-0.025764763817067896,0.0004628928094781371,4
12_13,0.5,0.1,30,-0.024347034448409667,0.00038620121614967636,4
12_13,0.5,0.1,40,-0.0231558993872891,0.000365919534390209,4
12_13,0.5,0.1,50,-0.022167600306853982,0.0003495963353793562,4
12_13,0.5,0.1,60,-0.021415011174763667,0.000344862562625057,4
12_13,0.5,0.2,20,-0.024910286659817468,0.00047701326210684944,4
12_13,0.5,0.2,30,-0.02337804733019946,0.00037070976326824705,4
12_13,0.5,0.2,40,-0.022075177268291987,0.00033168195712478715,4
12_13,0.5,0.2,50,-0.021044529384133495,0.00029435620551910354,4
12_13,0.5,0.2,60,-0.02031726376625828,0.00027451760761669085,4
12_13,1.0,0.005,20,-0.035648306819875034,0.0003974035088975204,4
12_13,1.0,0.005,30,-0.03414228983171959,0.0004110848731242607,4
12_13,1.0,0.005,40,-0.033403374732091484,0.0004237493829888479,4
12_13,1.0,0.005,50,-0.032944780240343224,0.0004646640142411409,4
12_13,1.0,0.005,60,-0.03258150001084112,0.0006256145815453616,4
12_13,1.0,0.01,20,-0.03490793371344539,0.0005611264310326719,4
12_13,1.0,0.01,30,-0.03353338245628095,0.0004938194686384672,4
12_13,1.0,0.01,40,-0.03283600725879249,0.0004525111457880946,4
12_13,1.0,0.01,50,-0.03239707039655369,0.0004570142456592567,4
12_13,1.0,0.01,60,-0.032044961230780704,0.0005746759264975091,4
12_13,1.0,0.02,20,-0.03436637683825419,0.0005720442611014771,4
12_13,1.0,0.02,30,-0.03306173539838583,0.0005059981158529366,4
12_13,1.0,0.02,40,-0.03238449874797281,0.000462380061358827,4
12_13,1.0,0.02,50,-0.03195393131175481,0.0004648473637022499,4
12_13,1.0,0.02,60,-0.031605552831009125,0.0005833674308887802,4
12_13,1.0,0.05,20,-0.03395978703835578,0.0006397786595402173,4
12_13,1.0,0.05,30,-0.03262393096723083,0.0005628416142052574,4
12_13,1.0,0.05,40,-0.03192499463516113,0.0005194058405509204,4
12_13,1.0,0.05,50,-0.031478249677901395,0.0005243236923483902,4
12_13,1.0,0.05,60,-0.031114375030546985,0.0006544616135525468,4
12_13,1.0,0.1,20,-0.03327829975118726,0.0006971431736037086,4
12_13,1.0,0.1,30,-0.03189871343746671,0.0006066808929075704,4
12_13,1.0,0.1,40,-0.031166136799716068,0.0005677813555895213,4
12_13,1.0,0.1,50,-0.030693517905183775,0.0005811025920707641,4
12_13,1.0,0.1,60,-0.030303967590487035,0.0007379511139246072,4
12_13,1.0,0.2,20,-0.03189654093925153,0.0007786361986495947,4
12_13,1.0,0.2,30,-0.03046373736036116,0.0006527313712208901,4
12_13,1.0,0.2,40,-0.02967422167801581,0.0006200541914453073,4
12_13,1.0,0.2,50,-0.02915433930813078,0.0006498074953161821,4
12_13,1.0,0.2,60,-0.028714353635072604,0.000859729209405005,4
01_14,0.25,0.005,20,-0.01829111777261803,0.00021278521740700516,6
01_14,0.25,0.005,30,-0.01714064645596405,0.0002299928784419602,6
01_14,0.25,0.005,40,-0.015421909816352332,0.001029237287131095,6
01_14,0.25,0.005,50,-0.013555883155935292,0.001008350608060743,6
01_14,0.25,0.005,60,-0.012708965256964746,0.0009007743928552166,6
01_14,0.25,0.01,20,-0.017861972909486688,0.00022614596427597647,6
01_14,0.25,0.01,30,-0.016813711328222906,0.00023074922999266243,6
01_14,0.25,0.01,40,-0.015173457986154866,0.0009766253617885384,6
01_14,0.25,0.01,50,-0.013421378099515135,0.0009486197865473135,6
01_14,0.25,0.01,60,-0.012615245886474289,0.0008610042972170696,6
01_14,0.25,0.02,20,-0.01734734259118204,0.00017220428831800735,6
01_14,0.25,0.02,30,-0.01640792533840709,0.00019071015659786848,6
01_14,0.25,0.02,40,-0.014858855559384257,0.0009248180878790401,6
01_14,0.25,0.02,50,-0.013250950917022544,0.0009146715363388714,6
01_14,0.25,0.02,60,-0.012491560183776132,0.0008380435222182808,6
01_14,0.25,0.05,20,-0.01709631178814959,0.00014492268556222317,6
01_14,0.25,0.05,30,-0.016156656464645956,0.00017582045682936105,6
01_14,0.25,0.05,40,-0.014600261671845154,0.0009064521959325341,6
01_14,0.25,0.05,50,-0.013066150321214649,0.000892895269876276,6
01_14,0.25,0.05,60,-0.012339946508183576,0.000822978290551425,6
01_14,0.25,0.1,20,-0.016841367125943002,0.00018086400679436927,6
01_14,0.25,0.1,30,-0.015864281820254466,0.0002022808218065913,6
01_14,0.25,0.1,40,-0.014271224038988893,0.0008912551514243044,6
01_14,0.25,0.1,50,-0.012814480102320188,0.0008655283992849906,6
01_14,0.25,0.1,60,-0.01212607909400209,0.000802989726965492,6
01_14,0.25,0.2,20,-0.01638755845349977,0.00029149864137556014,6
01_14,0.25,0.2,30,-0.015330227859000935,0.00027408262360200004,6
01_14,0.25,0.2,40,-0.013690915958345427,0.0008630903312000636,6
01_14,0.25,0.2,50,-0.012370953925683645,0.0008186634187872934,6
01_14,0.25,0.2,60,-0.011742700797531114,0.0007688763373725058,6
01_14,0.5,0.005,20,-0.023241003211910666,0.0004198897799299465,6
01_14,0.5,0.005,30,-0.02196368061747535,0.0004235332656632109,6
01_14,0.5,0.005,40,-0.020170749447271322,0.0016177913174894852,6
01_14,0.5,0.005,50,-0.017610366174563612,0.0019062519618798898,6
01_14,0.5,0.005,60,-0.016088889228003268,0.001844671805177217,6
01_14,0.5,0.01,20,-0.02265112121656776,0.0004329724113722108,6
01_14,0.5,0.01,30,-0.021505719583789426,0.00043180350553142924,6
01_14,0.5,0.01,40,-0.019794080445663054,0.001552638913104579,6
01_14,0.5,0.01,50,-0.017352750229785236,0.001784959621036542,6
