sheet,concentration_mM,trial,dydt0_single,k_single,k_single_err,r2_single,dydt0_double,k1_double,k2_double,k1_err,k2_err,r2_double,k_ratio
12_13,0.25,3,-0.010045683447406625,0.14343454220360904,0.00031170220182199826,0.9905599988858219,-0.019438677010414664,0.623626429548263,0.09456007522887652,0.002298608392920475,0.00017803765781864014,0.9996483348359095,6.59502890663756
12_13,0.5,0,-0.011959511601933717,0.1741829724140097,0.0003878729280012731,0.9897559868719328,-0.023812412298132156,0.7298218979861284,0.11775694144046661,0.002375898372219777,0.0001736537954424163,0.9996937428956703,6.197697469538119
12_13,0.5,1,-0.011780929199991469,0.17333436597411114,0.0003905343447764777,0.9895191201379405,-0.024121592426756735,0.760782036315126,0.11857719713897669,0.0024987592155719207,0.0001680368949079845,0.999682261651751,6.415921902956286
12_13,0.5,2,-0.011984885510763843,0.17188198975799518,0.0003889354545001725,0.9894360689662082,-0.02388540256441337,0.7135968579962816,0.11451855235955939,0.002290353648974486,0.000174971703667552,0.9996918443781637,6.231277319641339
12_13,0.5,3,-0.012161675985657393,0.1789129297498605,0.00040382002994037065,0.9894627794185205,-0.024534648662505088,0.7540904391709312,0.12122334074296558,0.0024594747420963745,0.0001758848428567407,0.9996813284836729,6.2206703308883196
12_13,1.0,0,-0.01598731328342494,0.2359159780466057,0.0005309225345110023,0.9895913172230586,-0.03208237716510075,0.9176828787938595,0.16182419886594143,0.0024513178202851637,0.0001733975729773119,0.9997639214511131,5.670863104683665
12_13,1.0,1,-0.016168265074598075,0.23743290834687017,0.000531495597383056,0.9897035146341384,-0.03306871917763693,0.9596237253262946,0.16538546721513234,0.002622930963037023,0.00017101533291703365,0.9997560202258617,5.802346128018748
12_13,1.0,2,-0.016101274729335615,0.24170266727677883,0.000539759174868863,0.9897599236913764,-0.03212654957921179,0.932595688285859,0.16623438656747766,0.002792083488246374,0.00019700044376576412,0.9997062183265122,5.610125002069298
12_13,1.0,3,-0.016023653027621217,0.2291849290009182,0.0004857276357850462,0.9907451378766816,-0.0322603490699418,0.9514564457576261,0.16407129876136511,0.0025967904345249493,0.00015652674045929556,0.9997873786950949,5.799042568325615
01_14,0.25,0,-0.008674599252629091,0.15816531990335866,0.00029860817582346154,0.9926970154957908,-0.015537237447497923,0.6400855241458533,0.1111988826232242,0.0027053164948475463,0.00019784965389383515,0.999656642737477,5.756222626037158
01_14,0.25,1,-0.00874748291334009,0.15101902046743232,0.0002946771302749809,0.9922730684136221,-0.01557903283561803,0.591484165877432,0.10182674521884472,0.0022958047646547733,0.00019428066430019628,0.9996849314272844,5.808730943979619
01_14,0.25,2,-0.008493372966728823,0.15003295586107843,0.0003150640078277621,0.9910746974533219,-0.014939900288778327,0.5355823203191785,0.09283214633568598,0.0024772332804885305,0.0002771751214535842,0.9994519952776353,5.769362677261434
01_14,0.25,3,-0.008495525058681837,0.14712294262816325,0.00032445051833787897,0.9902128147583443,-0.013191956964779783,0.36275126620472387,0.058491407882416274,0.0014694797367635574,0.00044365714157696627,0.9992177859507507,6.201787225466569
01_14,0.25,4,-0.008625956405627978,0.1516399848487419,0.0002960264413606073,0.9922589046958709,-0.015449959620331574,0.6006808301604846,0.10284635092142504,0.002296762678984907,0.00018891537562339733,0.9996946407630751,5.840565316891086
01_14,0.25,5,-0.008647807032155242,0.1578807720622677,0.0003209311838661526,0.9915462767817319,-0.014455046199299916,0.5035608638008289,0.09505756154917945,0.00255382747639293,0.0003468757390929336,0.9993530146761657,5.297430899700747
01_14,0.5,0,-0.010973178486625717,0.1846096201844466,0.00036913862335426445,0.9917024474981285,-0.019581191104193516,0.6690085527111351,0.1255812418268018,0.0028396500672114894,0.00024636603534105477,0.9995841406575864,5.327296839712839
01_14,0.5,1,-0.011034993669752753,0.1873461603541846,0.000404212621631697,0.9903501857193667,-0.019917328714362807,0.651656260832294,0.12141226567492776,0.0031911020457134646,0.0003182534516807338,0.9993428926287984,5.367301707201929
01_14,0.5,2,-0.011078013120778907,0.18766558248587295,0.00036166691744157385,0.9922857676405217,-0.020443999053732967,0.7528287973034168,0.13478307704688075,0.0027053905864929018,0.0001804989052764888,0.9997242575521122,5.58548457119409
01_14,0.5,3,-0.010504349286009719,0.17921013432763186,0.00043494004093343436,0.9878353161019915,-0.016466808146175477,0.4011401742296481,0.06448391049065513,0.0016371268051416298,0.0005844479641130762,0.9988628825567388,6.220779279317752
01_14,0.5,4,-0.011124475624275728,0.1942651215905248,0.00037415554407690737,0.9922954321384093,-0.019702274393523834,0.7059988531444514,0.13570707053593334,0.0027890489511267443,0.00022437513540101006,0.9996631239230422,5.202373394078334
01_14,0.5,5,-0.011163413260978272,0.19358067036041585,0.0003839444307312352,0.9918330595161954,-0.020338306722934775,0.729739357715766,0.1352741635184278,0.002745142795343769,0.00020964017859348864,0.9996742921268637,5.394521309432136
01_14,1.0,0,-0.015786828377855826,0.27061762178790494,0.0005178684883436178,0.992475813925674,-0.028565030216035597,0.9542407461496137,0.19306135166301155,0.0029685738067499984,0.00021483957695721384,0.9997577911709478,4.942681370092344
01_14,1.0,1,-0.015931200385210065,0.2794164765887136,0.0005372320725582682,0.9924008161754633,-0.028958311799256984,0.9816040283219857,0.19878927342154765,0.0029539853625883744,0.00021464381972920282,0.9997663902064384,4.937912450841451
01_14,1.0,2,-0.01560333738257157,0.2732219552912437,0.0005499003947268061,0.9916829735095961,-0.028022467347656933,0.9106019037390813,0.1878074320106449,0.003269193199467306,0.0002735526831806343,0.9996368810270184,4.848593551332242
01_14,1.0,3,-0.016068714228566965,0.2721835385827559,0.000531928844399169,0.9921548681090673,-0.030716124920072377,1.052125695830676,0.19801401351155126,0.0034083647907127575,0.00020887702994541542,0.9997290299386125,5.313390083724047
01_14,1.0,4,-0.0161076583139962,0.28356023079436027,0.0005474805834774367,0.9923339252274693,-0.02915061276579813,0.980092696215129,0.20047637175037772,0.002949243109459451,0.00022133678475197107,0.9997617862068501,4.888819004742799
01_14,1.0,5,-0.01607803710628921,0.2762087816438932,0.000536828420568396,0.9922384007503144,-0.02979153846690297,1.0044930437763366,0.1978916248096208,0.003210358822033991,0.0002198028403965551,0.999734670488956,5.075975523181928
