sheet,concentration_mM,trial,y_start,y_end,amplitude,baseline_offset,A0,A1,k1,A2,k2,dydt0,k1_err,k2_err,residual_rms,residual_max,r2
12_05,0.25,0,0.132847,0.0770889,0.05575809999999999,0.0770889,0.07576708334090589,0.019377068868562563,0.5810644604870588,0.041932813751168606,0.09775378048424337,-0.015358417138450287,0.003209001541501805,0.00033598336932754997,0.0004116938688792228,0.005733330929831415,0.9991170006501189
12_05,0.25,1,0.133983,0.0784461,0.055536899999999986,0.0784461,0.07694356143382935,0.02160168350647791,0.4961990008566974,0.03943011041738428,0.09152960986323212,-0.014327756396104287,0.0034119831893213415,0.0005167360221993264,0.0005194563218454511,0.006947189121229963,0.9985949655008337
12_05,0.25,2,0.1362825,0.0809703,0.055312200000000006,0.0809703,0.08031576667972859,0.017140424875317722,0.6595672981021203,0.04333509268192346,0.11478420957202908,-0.01627944808356089,0.002725013673432603,0.00021353157365127504,0.00027377047176830986,0.0021238217661967984,0.9996137295644119
12_05,0.5,0,0.12231149999999999,0.0676281,0.05468339999999999,0.0676281,0.06709675895418298,0.02044267181759129,0.6919582270805554,0.04018366174301694,0.11923430053099374,-0.018936745748392783,0.002694908920985588,0.0002572514167502471,0.00031271563058299183,0.001821021021081226,0.9994843968712376
12_05,0.5,1,0.120418,0.06756390000000001,0.05285409999999999,0.06756390000000001,0.06729658830342437,0.019528301073342042,0.6765336690875136,0.03861619529508376,0.12524325431474662,-0.01804797114420382,0.0036340937217759087,0.00036270999843926867,0.00039209896072354766,0.0026354479755219123,0.9991386111740623
12_05,0.5,2,0.121488,0.0698134,0.0516746,0.0698134,0.069617623768755,0.017738693289564796,0.7499126739977552,0.03925601795059305,0.13252775672772274,-0.018504982915058886,0.0029204558813640024,0.00023091715320390852,0.00027148011920712637,0.0016292289918628522,0.9995701425299566
12_05,1.0,0,0.120057,0.0692996,0.050757399999999994,0.0692996,0.06956011132033794,0.021315021827587342,0.86736839038885,0.0362151028534663,0.17350812842286537,-0.02477159089044415,0.0032369474812621825,0.0003197051325432283,0.0002958008950638562,0.0021617893047615466,0.9994882389785533
12_05,1.0,1,0.1198845,0.06753075,0.052353750000000004,0.06753075,0.06796059080234654,0.02296159297682161,0.8580987695736441,0.03610189170358053,0.16432083030652947,-0.02563560750123021,0.004578875373357724,0.0004772295087575933,0.0004682455812462305,0.002873146957254602,0.9987603116564244
12_05,1.0,2,0.121726,0.0708817,0.050844299999999995,0.0708817,0.07116296304142525,0.02113768965634143,0.9178296030808396,0.03673405251854414,0.1719507493069353,-0.025717245162969804,0.0032097420361657967,0.00028473657596688785,0.00028824896888625097,0.0021538830785670093,0.9995117299650508
12_05,1.0,3,0.119808,0.06599545,0.05381255,0.06599545,0.06041586570722434,0.041281114869910034,0.425362312290368,0.02270174209838833,0.04085481983343565,-0.018486906058324003,0.0014814720814238678,0.000989170623855845,0.0006688697806975492,0.0038291781887479087,0.9974789935484435
12_13,0.25,0,0.144265,0.07418245000000001,0.07008255,0.07418245000000001,0.07254206369031407,0.021521259115785278,0.6273505740361411,0.055465707345619016,0.09767601283649897,-0.018919043402944608,0.0024011569728134875,0.00018985777167159943,0.00033691477234505305,0.0018154474157254796,0.9996223751215979
12_13,0.25,1,0.142708,0.07197375,0.07073425,0.07197375,0.07047793608185096,0.020875065984272793,0.6692448996001722,0.05680689313752212,0.10034690791458743,-0.019670927513376357,0.002551628529546059,0.00017545952817963635,0.0003362496066643584,0.001987475310010811,0.9996305347261063
12_13,0.25,2,0.140304,0.0696871,0.07061690000000001,0.0696871,0.06750114413517386,0.021278026498169844,0.609931538319306,0.05661050445059108,0.09089516506328428,-0.018123760580779955,0.0021720792857306812,0.00017096850705364207,0.0003160480409885925,0.0015508117263800247,0.9996686469082463
12_13,0.25,3,0.13465549999999998,0.06111495,0.07354054999999998,0.06111495,0.05916723799857292,0.02226601624255738,0.623626429548263,0.05872458103871317,0.09456007522887652,-0.019438677010414664,0.002298608392920475,0.00017803765781864014,0.000340362819751015,0.0031961085911411113,0.9996483348359095
12_13,0.5,0,0.135856,0.06367955,0.07217645,0.06367955,0.06310641850718139,0.023602033223292997,0.7298218979861284,0.0559383721604811,0.11775694144046661,-0.023812412298132156,0.002375898372219777,0.0001736537954424163,0.0003166280771254627,0.002387767251876366,0.9996937428956703
12_13,0.5,1,0.133541,0.06195165,0.07158935,0.06195165,0.06137587777494579,0.022985949982035417,0.760782036315126,0.05594916014932085,0.11857719713897669,-0.024121592426756735,0.0024987592155719207,0.0001680368949079845,0.0003191921157457568,0.0014734742398927747,0.999682261651751
